,Unnamed: 0,Deposit type,Description,Synonym,Deposit environment,Deposit group,Genetically related features ,label
40,40,Marine evaporite gypsum,"Marine evaporite gypsum deposits belong to the general deposit group of Evaporite deposits. The deposit environment is typically Basin evaporative. Genetically related features of typical Marine evaporite gypsum deposits include: Silled marine basin, arid climate, pinnacle reefs, evaporites, sabkha dolomites. ",,Basin evaporative,Evaporite,"Silled marine basin, arid climate, pinnacle reefs, evaporites, sabkha dolomites",Marine evaporite gypsum
41,41,Marine evaporite salt,"Marine evaporite salt deposits belong to the general deposit group of Evaporite deposits. The deposit environment is typically Basin evaporative. Genetically related features of typical Marine evaporite salt deposits include: Silled marine basin, arid climate, pinnacle reefs, evaporites, sabkha dolomites. ",,Basin evaporative,Evaporite,"Silled marine basin, arid climate, pinnacle reefs, evaporites, sabkha dolomites",Marine evaporite salt
42,42,Marine evaporite potash,"Marine evaporite potash deposits belong to the general deposit group of Evaporite deposits. The deposit environment is typically Basin evaporative. Genetically related features of typical Marine evaporite potash deposits include: Silled marine basin, arid climate, pinnacle reefs, evaporites, sabkha dolomites. ",,Basin evaporative,Evaporite,"Silled marine basin, arid climate, pinnacle reefs, evaporites, sabkha dolomites",Marine evaporite potash
43,43,Marine evaporite magnesite,"Marine evaporite magnesite deposits are also known as Sedimentary magnesite. They belong to the general deposit group of Evaporite deposits. The deposit environment is typically Basin evaporative. Genetically related features of typical Marine evaporite magnesite deposits include: Silled marine basin, arid climate, pinnacle reefs, evaporites, sabkha dolomites. ",Sedimentary magnesite,Basin evaporative,Evaporite,"Silled marine basin, arid climate, pinnacle reefs, evaporites, sabkha dolomites",Marine evaporite magnesite
44,44,Lacustrine evaporite trona,"Lacustrine evaporite trona deposits belong to the general deposit group of Evaporite deposits. The deposit environment is typically Basin evaporative. Genetically related features of typical Lacustrine evaporite trona deposits include: Closed lacustrine drainage basin, arid climate, salt flats. ",,Basin evaporative,Evaporite,"Closed lacustrine drainage basin, arid climate, salt flats",Lacustrine evaporite trona
45,45,Lacustrine evaporite salt,"Lacustrine evaporite salt deposits belong to the general deposit group of Evaporite deposits. The deposit environment is typically Basin evaporative. Genetically related features of typical Lacustrine evaporite salt deposits include: Closed lacustrine drainage basin, arid climate, salt flats. ",,Basin evaporative,Evaporite,"Closed lacustrine drainage basin, arid climate, salt flats",Lacustrine evaporite salt
46,46,Lacustrine evaporite potash,"Lacustrine evaporite potash deposits belong to the general deposit group of Evaporite deposits. The deposit environment is typically Basin evaporative. Genetically related features of typical Lacustrine evaporite potash deposits include: Closed lacustrine drainage basin, arid climate, salt flats. ",,Basin evaporative,Evaporite,"Closed lacustrine drainage basin, arid climate, salt flats",Lacustrine evaporite potash
47,47,Lacustrine evaporite carnallite- bischofite,"Lacustrine evaporite carnallite- bischofite deposits belong to the general deposit group of Evaporite deposits. The deposit environment is typically Basin evaporative. Genetically related features of typical Lacustrine evaporite carnallite- bischofite deposits include: Closed lacustrine drainage basin, arid climate, salt flats. ",,Basin evaporative,Evaporite,"Closed lacustrine drainage basin, arid climate, salt flats",Lacustrine evaporite carnallite- bischofite
48,48,Lacustrine evaporite borate,"Lacustrine evaporite borate deposits belong to the general deposit group of Evaporite deposits. The deposit environment is typically Basin evaporative. Genetically related features of typical Lacustrine evaporite borate deposits include: Closed lacustrine drainage basin, arid climate, salt flats. ",,Basin evaporative,Evaporite,"Closed lacustrine drainage basin, arid climate, salt flats",Lacustrine evaporite borate
49,49,Lacustrine evaporite magnesite,"Lacustrine evaporite magnesite deposits are also known as Sedimentary magnesite. They belong to the general deposit group of Evaporite deposits. The deposit environment is typically Basin evaporative. Genetically related features of typical Lacustrine evaporite magnesite deposits include: Closed lacustrine drainage basin, arid climate, salt flats. ",Sedimentary magnesite,Basin evaporative,Evaporite,"Closed lacustrine drainage basin, arid climate, salt flats",Lacustrine evaporite magnesite
